Trial ID,Range/Row,Plot ID,Location Code,Count,Planting Area,Research Station,Trial Info,Entry Number,ABBRC1,ABBRC2,ABBRC3,Material ID,Admin Code,Responsible Store,CGenes,Material Lot,Plot Barcode,Delay in Planting,Material Store,MINT Container ID,Container ALT ID
16DRGJFG652P10C,/,1001,P10C,,,PHGS,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208280985,,,561A7E42-8A25-4F93-B11E-37262BCE08D7,CNCHYNS945559
16DRGJFG652P10C,/,2001,P10C,,,PHGS,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208280971,,,0F759A75-26F1-4CF0-9A79-9563960C4C5E,CNCHYNS945563
16DRGJFG652P11D,/,1001,P11D,,,PHGS,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208281013,,,B889EC4A-969F-403F-BECF-8B2347EDE6EF,CNCHYNS945611
16DRGJFG652P11D,/,2001,P11D,,,PHGS,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208280999,,,C1957B08-509A-451F-9AF5-D200547C164B,CNCHYNS945553
16DRGJFG652P13B,/,2001,P13B,,,PHBB,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208281055,,,02BBB67F-BC9B-4881-8DFD-3237D3CC31AE,CNCHYNS945573
16DRGJFG652P13B,/,1001,P13B,,,PHBB,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208281069,,,DF831EFB-4C57-4973-A095-BBCE5E91EB78,CNCHYNS945656
16DRGJFG652P10A,/,1003,P10A,,,PHGS,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208281039,,,A3B8B29A-8103-47C3-B116-4584A54F0F82,CNCHYNS945619
16DRGJFG652P10A,/,2003,P10A,,,PHGS,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208281025,,,407837BC-4042-4642-BEB3-BF55B7F54CF7,CNCHYNS945659
16DRGJFG652P10C,/,1003,P10C,,,PHGS,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208280983,,,D6FE53E3-C756-4826-A7D2-F1364413292C,CNCHYNS945584
16DRGJFG652P10C,/,2003,P10C,,,PHGS,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208280969,,,FFE831A3-0BAB-457E-A0E9-5C4E4960E67F,CNCHYNS945586
